City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,16.01,77,86,3.13,NZ,1738796831
1,araria,26.15,87.5167,15.25,57,0,1.45,IN,1738796825
2,avarua,-21.2078,-159.775,29.03,79,100,3.6,CK,1738796834
3,bethel,41.3712,-73.414,-1.91,48,0,2.06,US,1738796837
4,nicoya,10.1483,-85.452,28.99,56,66,4.3,CR,1738796683
5,moyynkum,44.2914,72.9469,-9.84,89,78,4.05,KZ,1738796840
6,negotino,41.4839,22.0892,2.37,57,7,1.22,MK,1738796842
7,port-aux-francais,-49.35,70.2167,7.39,95,99,8.84,TF,1738796654
8,berezovyy,51.6667,135.7,-13.16,93,100,5.96,RU,1738796845
9,port alfred,-33.5906,26.891,19.54,99,100,2.52,ZA,1738796847
10,atafu village,-8.5421,-172.5159,28.36,75,31,7.42,TK,1738796848
11,kalmunai,7.4167,81.8167,24.8,77,60,3.13,LK,1738796849
12,lensk,60.7253,114.9278,-37.95,99,36,1.44,RU,1738796850
13,luderitz,-26.6481,15.1594,16.66,84,97,14.64,,1738796851
14,nar'yan-mar,67.6713,53.087,-8.35,91,87,7.76,RU,1738796853
15,carnarvon,-24.8667,113.6333,26.36,76,6,7.88,AU,1738796589
16,ilulissat,69.2167,-51.1,-23.99,58,3,6.69,GL,1738796856
17,maputo,-25.9653,32.5892,23.98,86,14,1.86,MZ,1738796859
18,playa blanca,28.8643,-13.8281,17.06,73,0,7.94,ES,1738796861
19,muriti,-1.9833,32.9167,23.62,74,100,4.53,TZ,1738796608
20,iskateley,67.6803,53.1512,-8.36,91,87,7.76,RU,1738796864
21,prince rupert,54.3161,-130.3201,2.83,36,0,6.69,CA,1738796731
22,cabo san lucas,22.8909,-109.9124,26.17,33,0,5.14,MX,1738796686
23,iqaluit,63.7506,-68.5145,-34.17,94,57,2.07,CA,1738796869
24,chonchi,-42.6128,-73.8092,16.73,72,85,2.46,CL,1738796870
25,blackmans bay,-43.0167,147.3167,19.29,59,70,1.79,AU,1738796871
26,midvagur,62.0511,-7.1939,9.46,81,100,11.32,FO,1738796872
27,harper,4.375,-7.7169,26.76,84,14,3.41,LR,1738796873
28,mount isa,-20.7333,139.5,27.87,74,75,4.63,AU,1738796875
29,ola,59.5833,151.2833,-23.28,79,8,3.9,RU,1738796876
30,edinburgh of the seven seas,-37.0676,-12.3116,18.8,95,84,11.81,SH,1738796879
31,kodiak,57.79,-152.4072,1.73,75,0,0.0,US,1738796881
32,pangai,-19.8,-174.35,25.19,87,100,6.78,TO,1738796840
33,albany,42.6001,-73.9662,-6.31,58,32,1.55,US,1738796770
34,dzhetygara,52.1908,61.2006,-14.41,97,89,3.67,KZ,1738796885
35,urengoy,65.9667,78.3667,-19.03,100,90,2.62,RU,1738796886
36,newman,37.3138,-121.0208,13.36,45,0,1.79,US,1738796887
37,borogontsy,62.6683,131.1683,-43.15,100,53,1.2,RU,1738796889
38,bredasdorp,-34.5322,20.0403,17.7,53,100,2.25,ZA,1738796890
39,hawaiian paradise park,19.5933,-154.9731,24.73,75,40,5.66,US,1738796892
40,agua branca,-5.8922,-42.6361,25.83,70,95,1.61,BR,1738796894
41,kisesa,-3.0833,34.15,18.25,90,100,3.33,TZ,1738796896
42,serrinha,-11.6642,-39.0075,24.4,69,69,5.8,BR,1738796897
43,jakarta,-6.2146,106.8451,26.05,96,40,3.09,ID,1738796900
44,aban,56.67,96.06,-16.53,97,99,2.22,RU,1738796903
45,pacific grove,36.6177,-121.9166,14.65,71,0,3.6,US,1738796654
46,ushuaia,-54.8,-68.3,10.33,83,100,0.86,AR,1738796872
47,olonkinbyen,70.9221,-8.7187,-1.72,99,82,13.99,SJ,1738796906
48,bubaque,11.2833,-15.8333,24.45,70,95,4.29,GW,1738796907
49,anadyr,64.75,177.4833,-36.67,65,0,4.0,RU,1738796909
50,uturoa,-16.7333,-151.4333,28.07,73,63,5.45,PF,1738796911
51,abashiri,44.0213,144.2697,-4.84,80,75,2.06,JP,1738796913
52,el granada,37.5027,-122.4694,14.36,55,0,7.2,US,1738796916
53,guenange,49.2995,6.2075,2.98,97,63,2.07,FR,1738796917
54,meadow lake,34.8014,-106.5436,21.03,8,0,2.76,US,1738796918
55,flying fish cove,-10.4217,105.6791,26.82,94,100,6.69,CX,1738796904
56,adamstown,-25.066,-130.1015,25.34,77,3,6.16,PN,1738796921
57,touros,-5.1989,-35.4608,26.91,78,100,5.19,BR,1738796923
58,grytviken,-54.2811,-36.5092,1.62,95,98,4.36,GS,1738796915
59,puerto natales,-51.7236,-72.4875,14.25,51,75,2.06,CL,1738796619
60,fenghua,29.6563,121.4064,1.41,84,8,0.93,CN,1738796926
61,hermanus,-34.4187,19.2345,14.89,58,96,5.14,ZA,1738796929
62,ancud,-41.8697,-73.8203,14.36,77,99,3.83,CL,1738796931
63,mar del plata,-38.0023,-57.5575,21.72,84,75,5.66,AR,1738796648
64,wuchang,44.9143,127.15,-29.28,100,100,1.41,CN,1738796933
65,baneh,35.9975,45.8853,0.63,78,100,3.19,IR,1738796935
66,susuman,62.7833,148.1667,-44.41,96,68,0.36,RU,1738796937
67,kerikeri,-35.2268,173.9474,23.4,44,85,1.12,NZ,1738796938
68,kingston,17.997,-76.7936,26.2,67,66,2.86,JM,1738796939
69,zemio,5.0314,25.1361,24.15,39,100,1.14,CF,1738796940
70,papatowai,-46.5619,169.4708,14.22,56,65,2.79,NZ,1738796941
71,porto novo,6.4965,2.6036,27.06,85,35,3.33,BJ,1738796943
72,nazarovo,56.0064,90.3914,-21.96,100,100,1.75,RU,1738796946
73,pangkalpinang,-2.1333,106.1333,24.83,89,100,2.21,ID,1738796947
74,yellowknife,62.456,-114.3525,-4.21,87,81,8.1,CA,1738796940
75,thompson,55.7435,-97.8558,-14.91,84,99,4.45,CA,1738796918
76,emerald,-23.5333,148.1667,21.32,90,100,5.32,AU,1738796952
77,wailua homesteads,22.0669,-159.378,24.51,73,0,4.12,US,1738796912
78,ribeira grande,38.5167,-28.7,18.22,94,40,6.26,PT,1738796956
79,margaret river,-33.95,115.0667,19.65,77,0,7.22,AU,1738796957
80,invercargill,-46.4,168.35,15.01,69,87,1.79,NZ,1738796793
81,maamba,-17.3667,27.15,22.03,72,66,1.11,ZM,1738796961
82,tiksi,71.6872,128.8694,-30.46,97,100,3.31,RU,1738796962
83,caleta de carquin,-11.0925,-77.6267,23.15,77,83,3.17,PE,1738796963
84,burang,30.25,81.1667,-19.32,43,36,3.65,CN,1738796965
85,hithadhoo,-0.6,73.0833,27.57,66,28,5.73,MV,1738796968
86,lihue,21.9789,-159.3672,24.85,69,0,4.12,US,1738796970
